tabel,kode,lapangan_usaha,periode,nilai
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2022,2143481.837
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2022,1920164.639
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2022,2045800.389
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2022,2036530.657
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2022,8145977.523
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2023,2204396.201
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2023,2033149.781
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2023,2150608.057
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2023,2196106.443
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2023,8584260.481
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2024,2384438.946
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2024,2171522.183
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2024,2322545.007
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2024,2422605.833
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2024,9301111.969
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2025,2592670.911
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan II 2025,2412612.571
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan III 2025,2554183.162
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan IV 2025,2681948.993
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Tahunan 2025,10241415.64
ADHB,A,"Pertanian, Kehutanan, dan Perikanan",Triwulan I 2026,2804770.882
ADHB,B,Pertambangan dan Penggalian,Triwulan I 2022,72643.02205
ADHB,B,Pertambangan dan Penggalian,Triwulan II 2022,71217.17979
ADHB,B,Pertambangan dan Penggalian,Triwulan III 2022,71579.20239
ADHB,B,Pertambangan dan Penggalian,Triwulan IV 2022,73862.56791
ADHB,B,Pertambangan dan Penggalian,Tahunan 2022,289301.9721
ADHB,B,Pertambangan dan Penggalian,Triwulan I 2023,68586.17753
